testName,Z0/r,omegaNDExp
randomSamp_67_1,0.279,0.96
randomSamp_67_2,0.3786,0.98
randomSamp_67_3,0.2491,1.0
randomSamp_67_4,0.2192,1.02
randomSamp_67_5,0.3188,1.02
randomSamp_67_8,0.3487,1.04
randomSamp_67_9,0.3188,1.06
randomSamp_67_10,0.3686,1.05
randomSamp_67_11,0.2491,1.08
randomSamp_67_12,0.2192,0.93
randomSamp_67_13,0.1196,0.94
randomSamp_67_14,0.279,0.96
randomSamp_67_15,0.1993,0.98
randomSamp_67_16,0.1793,0.96
randomSamp_67_17,0.0996,0.97
randomSamp_67_18,0.279,1.03
randomSamp_67_19,0.2291,1.04
randomSamp_67_20,0.0996,1.03
randomSamp_67_21,0.1494,1.04
randomSamp_67_22,0.1395,1.02
randomSamp_67_23,0.3786,1.08
randomSamp_67_24,0.2291,1.11
randomSamp_67_25,0.3686,1.14
randomSamp_67_26,0.0996,1.12
randomSamp_67_27,0.2989,1.2
randomSamp_67_28,0.3587,1.17
randomSamp_67_29,0.1993,1.17
randomSamp_67_30,0.1694,1.16
randomSamp_67_31,0.1993,1.2
